_	PRON VERB DET ADJ NOUN PART ADV SCONJ PUNCT ADP CCONJ AUX NUM PROPN SYM INTJ _
clint	PROPN
collins	PROPN
203-719-8385	NUM
203-719-7031	NUM
conrfirmed	VERB
conrfirm	VERB
cap	NOUN VERB X PROPN
included	VERB
remaining	VERB ADJ
2.5	NUM
assistant	NOUN ADJ PROPN
joanne	PROPN
rozycki	PROPN
shackleton	PROPN
wholesale	ADJ ADV PROPN NOUN
1400	NUM
3801a	NUM NOUN
tx	PROPN
77002	NUM
ph	NOUN
853-5620	NUM
646-3490	NUM
ss	PROPN NOUN
paragraph	NOUN
13s	NOUN
isdas	NOUN PROPN
isda	NOUN PROPN
hedge	NOUN VERB
funds	NOUN VERB
fund	NOUN PROPN VERB
municipal	ADJ PROPN
caveat	NOUN
susan	PROPN X
tanya	PROPN
inc	PROPN
annex	NOUN VERB
meantime	NOUN
vijay	PROPN
k.	PROPN
suchdev	PROPN
equity	NOUN
derivative	NOUN ADJ PROPN
212	NUM
909-0951	NUM
891-5042	NUM
vijay.suchdev@funb.com	X
mailto:vijay.suchdev@funb.com	X
olsen@enron	X
12/07/2000	NUM
02:29	NUM
daren	PROPN
pat	PROPN NOUN VERB
grasp	VERB NOUN
imminent	ADJ
whenever	ADV SCONJ
equistar	PROPN
365013	NUM
10,000	NUM
meter	NOUN
1552	NUM
qe	NOUN PROPN
4.355	NUM
lloyd	PROPN
sitara	NOUN PROPN
melissa	PROPN
20.000	NUM
ls	NOUN PROPN
13th	NOUN ADJ
teco	PROPN
108.333	NUM
iferc	PROPN
lsk	PROPN
ic	PROPN
12	NUM X ADJ
85.000	NUM
32.500	NUM
83.5	NUM
lawnmower	NOUN
bump	VERB NOUN
???	PUNCT SYM
80	NUM
+++	SYM
geoff	PROPN
liberty	NOUN PROPN
http://24.27.98.30/pictures/08-05_garrett_gayle_bday	X
yell	NOUN VERB
ram	PROPN X
tackett	PROPN X
mailto:rtackett@abacustech.net	X
abacus	PROPN
technologies	PROPN NOUN
17611	NUM
loring	PROPN
lane	PROPN NOUN
77388-5746	NUM
281	NUM
651-7106	NUM
528-8636	NUM
http://www.abacustech.net	X
.vcf	NOUN
4222	NUM
comets	PROPN NOUN
sat.	PROPN
compaq	PROPN
bringing	VERB
girlfriends	NOUN
girlfriend	NOUN
lj	PROPN
stacey	PROPN
template	NOUN
enfolio	PROPN
barclay	PROPN
richardson	PROPN
llc	PROPN NOUN
stacey.richardson@enron.com	X
853-0569	NUM
646-2495	NUM
710-6084	NUM
pager	NOUN
12:30	NUM
cafeteria	NOUN
condo	NOUN
matters	NOUN VERB PROPN
hunting	NOUN VERB
vegetables	NOUN
vegetable	NOUN
janette	PROPN
elbertson	PROPN
coordinator	NOUN
ews	PROPN NOUN
legal	PROPN ADJ NOUN
eb3326	NOUN
853-7906	NUM
646-2600	NUM
janette.elbertson@enron.com	X
12:15	NUM
move-team@enron	X
09/20/2000	NUM
03:22	NUM
salinardo@enron	X
churn	NOUN VERB
dow	PROPN
topped	VERB
1966	NUM
995	NUM
tumbled	VERB
tumble	VERB
744	NUM
rallied	VERB
rally	VERB NOUN
943	NUM
'67	NUM
'68	NUM
fallen	VERB ADJ
825	NUM
speculative	ADJ
985	NUM
sank	VERB
sink	VERB NOUN ADJ
631	NUM
'70	NUM
'71	NUM
climbed	VERB
950	NUM
869	NUM
'72	NUM
1051	NUM
'73	NUM
bullish	ADJ
collapsed	VERB ADJ
788	NUM
'74	NUM
sunk	VERB
577	NUM
gurus	NOUN
guru	NOUN
geniuses	NOUN
genius	NOUN ADJ
predicting	VERB
250	NUM
openly	ADV
capitalism	NOUN
depression	PROPN NOUN
1974	NUM
dizzy	ADJ
desperate	ADJ ADV
wrung	VERB
wring	VERB ADJ
09:32	NUM
7:30	NUM
arond	ADV
9:30	NUM
edward	PROPN
terry	PROPN
09/08/2000	NUM
09:55	NUM
memo	NOUN
reduced	VERB ADJ
420,588	NUM
mmbtu	NOUN
!!!!!!	PUNCT
09:36	NUM
26th	NOUN
pvt	NOUN
nville	PROPN
sep	PROPN
anita	PROPN
adjustments	NOUN
adjustment	NOUN
inventory	NOUN
wilson	PROPN
values	NOUN VERB
contains	VERB
reduces	VERB
398,487	NUM
reduction	NOUN
22,101	NUM
scada	NOUN
showed	VERB
mips	NOUN
summarize	VERB ADJ
3,993,310	NUM
4,223,000	NUM
yelled	VERB
drunk	ADJ VERB NOUN
slowly	ADV
regressing	VERB
regress	VERB NOUN
screw	VERB NOUN
missy	PROPN
lori	PROPN
fucked	VERB
*******************	PUNCT
confidentiality	NOUN
footer	NOUN
addressee	NOUN
kindly	ADV ADJ
employer	NOUN
consent	VERB NOUN
messages	NOUN
conclusions	NOUN
conclusion	NOUN
understood	VERB
endorsed	VERB
endorse	VERB
j12746km	NOUN
compensation	NOUN
60000	NUM
70000	NUM
handling	VERB NOUN
tort	NOUN
minor	ADJ NOUN PROPN
pi	NOUN
salary	NOUN ADJ PROPN
comprehensive	ADJ PROPN
benefits	NOUN VERB
ample	ADJ
requirements	NOUN
requirement	NOUN
complement	VERB NOUN
desire	NOUN VERB ADJ
marvel	PROPN VERB
28601	NUM
chagrin	PROPN X NOUN
blvd.	PROPN
cleveland	PROPN
ohio	PROPN
44122	NUM
recruiters@marvelconsultants.com	X
mailto:recruiters@marvelconsultants.com	X
216-292-2855	NUM
216-292-7207	NUM
intrude	VERB
bullshit	NOUN
depressing	ADJ
ene	PROPN
plenty	ADV PROPN NOUN ADJ
duke	PROPN
dynegy	PROPN
gianoucous	PROPN
spelling	NOUN VERB
brothers	NOUN PROPN
brother	NOUN
dimitri	PROPN
schlumberger	PROPN
contacts	NOUN
ex	X
defunctc	ADJ
ompany	NOUN
checking	VERB
rodgers	PROPN
tva	NOUN
drafted	VERB
series	NOUN PROPN
tied	VERB ADJ
mopa	NOUN
quantity	NOUN
ought	AUX VERB
accordingly	ADV
36349	NUM
4:00	NUM
haedicke	PROPN
02/28/2001	NUM
03:16	NUM
preparing	VERB
businesses	NOUN
brief	ADJ VERB NOUN ADV
04:41	NUM
11/14/2000	NUM
11:37	NUM
yuk	INTJ NOUN
430	NUM ADJ
thanksgiving	PROPN
vm	NOUN PROPN
lamb@enron	X
11/15/2000	NUM
11:58	NUM
blacklined	VERB
blackline	VERB X
drafts	NOUN
guaranties	NOUN
epmi	PROPN
obligations	NOUN
obligation	NOUN PROPN
mesa	PROPN
renewable	PROPN ADJ NOUN
ppa	PROPN X
premium	PROPN NOUN ADJ
gspa	PROPN
epc	NOUN
banks	NOUN
granted	VERB
grant	VERB NOUN PROPN
cabazon	PROPN
financed	VERB
ewc	PROPN
gpsa	PROPN X
lenders	NOUN
lender	NOUN
negotiated	VERB
negotiate	VERB
guaranty.doc	NOUN
sheila	PROPN
tweed	PROPN
03/26/2001	NUM
08:58	NUM
hain	PROPN
12:24	NUM
regulatory	ADJ PROPN
counsel	NOUN PROPN
31	NUM
inc.one	PROPN
sullivan	PROPN
holyoke	PROPN
ma	PROPN NOUN DET
01040-2841	NUM
413	NUM
535-4000	NUM
mhain@iso-ne.com	X
cdwr	NOUN PROPN
everyday	NOUN ADV ADJ
increase	NOUN VERB ADJ
imposed	VERB
bond	NOUN PROPN VERB
purported	VERB ADJ
purport	VERB
billion	NUM NOUN
615	NUM
latest	ADJ
dash	NOUN VERB
var	NOUN
sheridan	PROPN
rac	NOUN
gorte	PROPN
titman	PROPN
titman@mail.utexas.edu	X
01/24/2001	NUM
02:45:50	NUM
consulting	NOUN VERB
arrangement	NOUN
avenues	NOUN
austin	PROPN
78712-1179	NUM
512-232-2787	NUM
512-471-5073	NUM
reminder	NOUN
prof.	PROPN
ut	PROPN
rick	PROPN X
42299	NUM
kindall@enron	X
03:51	NUM
canadian	PROPN ADJ
managers	PROPN NOUN
edmonton	PROPN
peter	PROPN X
cox	PROPN
cfoforum.ppt	NOUN
darrell	PROPN
billed	VERB
clewlow	PROPN
strickland	PROPN
duffie	PROPN
duffie@stanford.edu	X
03:17:01	NUM
respond	VERB
taiichi	PROPN
modeling	NOUN VERB
_____________________________________________	SYM
gsb	PROPN
stanford	PROPN
94305-5015	NUM
723	NUM
1976	NUM
725	NUM
7979	NUM
http://www.stanford.edu/~duffie/	X
paper4.pdf	X
spoken	VERB PROPN
cv	NOUN
853-7408	NUM
j	PROPN NOUN X
arfsten	PROPN
arfsten@bflassociates.com	X
11:16:25	NUM
concept	NOUN
lays	PROPN VERB
welcomed	VERB
design	NOUN VERB PROPN
economics	NOUN PROPN
worthy	ADJ PROPN
ideal	ADJ NOUN
enhancement	NOUN
commercialization	NOUN
accomplished	VERB
accomplish	VERB
confidentially	ADV
generated	VERB
965	NUM
2158	NUM
stinson	PROPN
chonawee	PROPN
optimization	NOUN
lasdon	PROPN
thrusday	PROPN
kk	PROPN
kam	PROPN
developments	NOUN
deals	NOUN VERB
dawn	PROPN
plano	PROPN
ubs	NOUN
possibilities	NOUN
count	NOUN VERB PROPN
attending	VERB
rsvp	NOUN
disregard	VERB NOUN
wt	PROPN
cal	PROPN
id's	NOUN
id'	NOUN
aruba	PROPN
ey4096.1	NOUN
01-feb-02	NOUN
6,363,217	NUM
250,393	NUM
ey4096.3	NOUN
202,989	NUM
195,610	NUM
ey4096.4	NOUN
0	NUM SYM
31,180	NUM
ey4096.7	NOUN
55,678	NUM
ey4106.6	NOUN
1,993,045	NUM
32,387	NUM
ey4106.7	NOUN
43,548	NUM
ey4106.9	NOUN
27,886	NUM
27,361	NUM
ey4108.e	NOUN
12,514,373	NUM
265,932	NUM
ey4108.f	NOUN
112,610	NUM
110,555	NUM
ey4108.h	NOUN
2,239,879	NUM
36,398	NUM
ey4108.i	NOUN
10,274,494	NUM
166,960	NUM
dpr	NOUN
0102	NUM
positions	NOUN
bcf	NOUN
cc	VERB NOUN PROPN
schedules	NOUN
dpr's	NOUN
reporting	VERB NOUN
31st	NOUN
respective	ADJ
noon	NOUN
1/29/02	NUM
p&l	NOUN
prma	NOUN
'000's	NOUN
'000'	NOUN
export	VERB X NOUN
spreadsheets	NOUN
abel	PROPN
manager	NOUN PROPN
controls	NOUN
chris.abel@enron.com	X
mailto:chris.abel@enron.com	X
713.853.3102	NUM
estate	NOUN
requests	NOUN
ac	PROPN
sanjeev	PROPN
4:30	NUM
shoot	VERB NOUN ADJ
´m	AUX
brazil	PROPN
06	NUM
kisses	NOUN
kiss	NOUN VERB
leli	PROPN
pairing	NOUN VERB
orphaned	VERB
orphan	VERB NOUN
elephant	NOUN
olly	PROPN
uplifting	ADJ
courtesy	NOUN
welfare	PROPN NOUN
bateleurs	PROPN
forum	NOUN PROPN
interactive	ADJ
absorbing	ADJ VERB
astrology	NOUN
palmistry	NOUN
gemology	NOUN
feng	NOUN PROPN
shui	NOUN
vaastu	NOUN
shastra	NOUN
active	ADJ
swetha	PROPN
cd's	NOUN
cd'	NOUN
reels	NOUN
cassettes	NOUN
cassette	NOUN
vinyl	NOUN ADJ
33	NUM
45's	NOUN
45'	NOUN
shellac	NOUN
78's	NOUN
78'	NOUN
integrated	ADJ VERB
amp	NOUN
opener	NOUN
magnavox	PROPN
tubes	NOUN
tube	NOUN PROPN
tested	VERB
heterosexuals	NOUN
heterosexual	NOUN ADJ
increasingly	ADV
deb	PROPN
baptist	ADJ PROPN
pastor	NOUN
stephen	PROPN
jones	PROPN
janice	PROPN
35	NUM
coupled	ADJ VERB
*	PUNCT SYM
twinkle	VERB
lazy	ADJ
kitna	X
soyega	X
uthja	X
yaar	X
risen	VERB ADJ
uthke	X
jaldi	X
pee	X VERB
le	X PROPN DET
chai	X
**	PUNCT
rajendra	PROPN
rajendra.o...@gmail.com	X
image_gif_part	NOUN
81	NUM
ebook	NOUN
tale	PROPN NOUN
terra	PROPN
brillant	ADJ
brilliant	ADJ
scenes	NOUN
lovable	ADJ
heroes	NOUN
hero	NOUN
villians	NOUN
villain	NOUN
compelling	ADJ VERB
taleofterra.com	X
aboout	ADP
roving	PROPN
s...@tack.net	X
alt.animals	NOUN
talk.politics.animals	NOUN
followup	VERB NOUN
surfs	PROPN
http://extremewebsurfs.blogspot.com/	X
wildlife	NOUN PROPN
http://maartenvt.blogspot.com/	X
arts	NOUN PROPN
politics	NOUN PROPN
beta	NOUN
gravity	PROPN NOUN
ceo	NOUN
jung	PROPN
ryool	PROPN
16th	NOUN PROPN ADJ
credit's	NOUN
credit'	NOUN
^^	SYM
gamespot	PROPN
ian	PROPN
ian.gilb...@btinternet.com	X
updated	VERB ADJ
www.southbhamcats.org.uk	X
re-homing	NOUN
homes	NOUN PROPN
co-ordinator	NOUN
financier	NOUN
dar	PROPN
hunt	VERB NOUN
accomplices	NOUN
accomplice	NOUN
mr	PROPN NOUN
administered	VERB
administer	VERB
kashmir	PROPN
belonged	VERB
belong	VERB
outlawed	VERB
outlaw	VERB
lashkar	PROPN
toiba	PROPN
otto	PROPN
jespersen	PROPN
nature	PROPN NOUN
aptly	ADV
summarised	VERB
summarise	VERB
comparing	VERB PROPN
manchester	PROPN
worlds	NOUN
artificial	ADJ
hindrances	NOUN
hindrance	NOUN
supply	NOUN VERB
regulate	VERB
portia	PROPN
profits	NOUN
beavers	PROPN NOUN
cognitivesciencen...@gmail.com	X
inhibitory	ADJ
cortex	NOUN
controlling	VERB
mechanisms	NOUN
mechanism	NOUN
cortical	ADJ
yale	PROPN
neuron	PROPN
network	NOUN PROPN
amplitude	NOUN
extent	NOUN
duration	NOUN
activation	NOUN
recurrent	ADJ
excitatory	ADJ
networks	NOUN PROPN
precise	ADJ
potentials	NOUN
synchronization	NOUN
cognitive	PROPN ADJ
8/28/2005	NUM
07:18:20	NUM
engin	PROPN
i.	PROPN
erdem	PROPN
erdemen...@gmail.com	X
worldwatch	PROPN
catastrophe	NOUN
costly	ADJ
disaster	NOUN
overwhelming	ADJ
impacts	NOUN PROPN
powerful	ADJ
dependence	NOUN
assessment	NOUN PROPN
alteration	NOUN
wetlands	NOUN
wetland	NOUN
abnormally	ADV
vulnerable	ADJ
scientists	NOUN
warming	NOUN VERB
—	PUNCT
degree	NOUN PROPN VERB
fahrenheit	PROPN
temperatures	NOUN
temperature	NOUN
rising	VERB NOUN
exacerbated	VERB
exacerbate	VERB
destructive	ADJ
http://reflectioncafe.blogspot.com/2005/09/unnatural-disasterthe-less...	X
n3td3v	PROPN
xploita...@gmail.com	X
defies	VERB
defy	VERB
resisting	VERB
resist	VERB
http://news.bbc.co.uk/go/em/fr/-/1/hi/technology/4630694.stm	X
headlines	NOUN
headline	NOUN
http://www.bbc.co.uk/dailyemail/	X
disclaimer	NOUN
content	NOUN ADJ PROPN VERB
necessarily	ADV
verified	VERB
e-mails	NOUN
http://news.bbc.co.uk/1/hi/help/4162471.stm	X
http://www.reuters.co.uk/newspackagearticle.jhtml?type=worldnews&storyid=624569&section=news	X
protests	NOUN
chilean	ADJ
santiago	PROPN
summit	NOUN PROPN
chinese	ADJ PROPN
hu	PROPN
jintao	PROPN
peninsula	NOUN PROPN
reed	PROPN NOUN
shakes	VERB
shake	VERB NOUN PROPN
pacific	PROPN ADJ
apec	PROPN
11/20/2004	NUM
03:10:35	NUM
blackbayou	PROPN
blackba...@excite.com	X
boredom	NOUN
lyme	PROPN
disease	NOUN PROPN
stuck	ADJ VERB
collecting	VERB
animations	NOUN
animation	NOUN
jokes	NOUN
mailing	NOUN VERB
addresses	NOUN VERB
5000	NUM
http://www.myshutter.com/flash.htm	X
collection	NOUN PROPN
comedy	NOUN PROPN
http://www.myshutter.com	X
becoming	VERB
disabled	ADJ VERB
avid	ADJ
amateur	NOUN
guestbook	NOUN
-----=	SYM
newsfeeds.com	X
=-----	SYM
http://www.newsfeeds.com	X
-----==	SYM
handcrafted	VERB
handcraft	VERB NOUN
furry	ADJ
catalog	NOUN
732-657-3416	NUM
figurines	NOUN
figurine	NOUN
rabbit	NOUN
fur	NOUN
feathers	NOUN
feather	NOUN ADJ
sheep	NOUN
wool	NOUN
rabbits	NOUN
wolves	NOUN
moose	NOUN
horses	NOUN
cuddly	ADJ
collectables	NOUN
collectable	NOUN
realistic	ADJ
retail	NOUN ADJ VERB
vendors	NOUN VERB
vendor	NOUN VERB
nation	NOUN PROPN
exhibits	VERB NOUN
exhibit	VERB NOUN
craft	NOUN VERB
color	NOUN PROPN VERB
minimum	ADJ NOUN
orders	NOUN PROPN
500.00	NUM
accecpt	VERB
visa	PROPN NOUN ADV X
mastercard	PROPN
amex	PROPN
carte	PROPN
blanche	PROPN
checks	NOUN VERB
us.net	X
schmidt	PROPN
animalsr...@aol.com	X
1027	NUM
jolson	PROPN
n.j.	PROPN
08759	NUM
wei	PROPN
magic	ADJ NOUN PROPN VERB
cubes	NOUN
cube	NOUN
ligang	PROPN
exhibition	NOUN
mid-july	PROPN
hong	PROPN
kong	PROPN
lecturing	VERB
lecture	VERB NOUN
perfectly	ADV
combines	VERB
combine	VERB
calligraphy	NOUN PROPN
regarded	VERB
avant	NOUN
garde	NOUN
artist	NOUN
artworks	NOUN
artwork	NOUN
selected	VERB ADJ
select	VERB PROPN ADJ
exhibited	VERB
virtuoso	NOUN
performances	NOUN
ink	NOUN VERB
incorporating	VERB
techniques	NOUN
technique	NOUN
gordon	PROPN
barrass	PROPN
curator	NOUN
ingeniously	ADV
planned	VERB ADJ
tricky	ADJ
linguistic	ADJ PROPN
logician	NOUN
logic	NOUN
cellist	NOUN
ripple	NOUN PROPN VERB
nine	NUM
bass	ADJ NOUN PROPN
straw	NOUN VERB
potter	PROPN
accompanied	VERB
accompany	VERB
blazes	NOUN
blaze	NOUN VERB
gaze	VERB NOUN
floating	VERB NOUN ADJ
float	VERB ADJ
http://news.zdnet.co.uk/internet/0,39020369,39187928,00.htm	X
wiki	PROPN NOUN
wikipedia	PROPN
encyclopedia	NOUN
zd	PROPN
brewing	VERB
brew	VERB
horizon	NOUN PROPN
suns	PROPN
ibm	PROPN
counter	VERB NOUN X ADJ
encarta	PROPN
dictionary	NOUN
linux	PROPN
wikimedia	PROPN
collaboratively	ADV
wikipedia.org	X
coarse	NOUN ADJ
domination	NOUN
2014	NUM
slay	VERB
goliath	NOUN
defeat	NOUN VERB
seeks	VERB
vanquish	VERB
competition	NOUN
2/14/2005	NUM
07:03:00	NUM
ruth	PROPN
ruth.penyc...@bbc.co.uk	X
campaigning	VERB NOUN
hospital	NOUN PROPN
closures	NOUN
closure	NOUN
dedicate	VERB ADJ
hospitals	NOUN PROPN
http://www.bbc.co.uk/dna/actionnetwork/c55153	X
nhs	PROPN
sos	PROPN
ward	NOUN VERB X
cumbria	PROPN
hub	NOUN PROPN X
campaigners	NOUN
campaigner	NOUN
penycate	PROPN
www.bbc.co.uk/actionnetwork	X
winston	PROPN
peters	PROPN
asks	VERB
tragedy	NOUN
stands	VERB NOUN
carrying	VERB
fifty	NUM
afraid	ADJ PROPN
explains	VERB
silent	ADJ PROPN
timid	ADJ
beams	VERB NOUN
beam	VERB NOUN
marvelous	ADJ
http://www.space.com/astronotes/astronotes.html	X
space.com	X
lunar	PROPN ADJ
visualizing	VERB
visualize	VERB
highway	NOUN
earth	PROPN NOUN
utilizes	VERB
utilize	VERB
kistler	PROPN
raising	VERB NOUN
operate	VERB
transporatation	PROPN
lts	PROPN
funded	VERB
businessmen	NOUN
businessman	NOUN
walter	PROPN
citron	PROPN
spacehab	PROPN
vision	NOUN
underscores	VERB
underscore	VERB
assisting	VERB
co-founder	NOUN
chairman	NOUN PROPN
tourism	NOUN PROPN
2/15/2005	NUM
05:12:00	NUM
http://www.space.com/missionlaunches/ft_050829_ksc_spacefuture.html	X
sleek	ADJ
booster	NOUN
landers	NOUN
lander	NOUN
gear	NOUN VERB
extended	ADJ VERB
visits	NOUN VERB
lofted	VERB
loft	VERB NOUN
gargantuan	ADJ
launchers	NOUN
launcher	NOUN PROPN
apollo	PROPN
era	NOUN PROPN
flown	VERB
transitioning	VERB
proven	VERB
proved	VERB
initiate	VERB
derived	VERB ADJ
derive	VERB ADJ
solid	ADJ NOUN
boosters	NOUN
spaceflight	NOUN
signed	VERB
ex-astronaut	NOUN
ron	PROPN
sega	PROPN
metric	ADJ NOUN
existing	VERB ADJ
exist	VERB ADJ
capabilities	NOUN
external	ADJ NOUN
tanks	NOUN
missions	NOUN
mission	NOUN PROPN
models	NOUN
forecasters	NOUN
forecaster	NOUN
predecessors	NOUN
predecessor	NOUN
launching	VERB NOUN
disasters	NOUN PROPN
revisiting	VERB
revisit	VERB
8/30/2005	NUM
09:36:00	NUM
lynne	PROPN
image001.jpg	NOUN
51	NUM PROPN
funny	ADJ
lifted	VERB ADJ
amy	PROPN
------	PUNCT
aging	NOUN ADJ
congress	PROPN NOUN
rogers	PROPN
flattered	ADJ VERB
eleanor	PROPN
roosevelt	PROPN
claus	PROPN
victor	PROPN NOUN
borge	PROPN
philosopher	NOUN
socrates	PROPN
jury	NOUN
groucho	PROPN
marx	PROPN NOUN
slight	ADJ VERB ADV
impediment	NOUN
breathe	VERB
jimmy	PROPN NOUN
durante	PROPN
hated	VERB
diamonds	NOUN
diamond	NOUN
zsa	PROPN
gabor	PROPN
caffeine	NOUN
sugar	NOUN ADJ
alex	PROPN
levine	PROPN
happiness	NOUN
misery	NOUN
spike	PROPN NOUN VERB
milligan	PROPN
thirteen	NUM ADJ
namath	PROPN
youth	NOUN ADV
herbert	PROPN
henry	PROPN
asquith	PROPN
nap	NOUN
avoiding	VERB
temptation	NOUN
older	ADJ
churchill	PROPN
begins	VERB
starts	VERB NOUN
phyllis	PROPN
diller	PROPN
billy	PROPN X
crystal	PROPN NOUN
__________________________________________________	SYM
spam	NOUN
image_jpg_part	NOUN
52	NUM
portuguese	PROPN
cordoba	PROPN
thumbs	NOUN
thumb	NOUN
upping	VERB
=)	SYM
mountains	NOUN PROPN
cliffs	NOUN PROPN
peat	NOUN
bogs	NOUN
bog	NOUN
valleys	NOUN
streaming	NOUN VERB ADJ
93.5	NUM
url	NOUN
υes	INTJ
fare	NOUN
kolkatta	PROPN
kolkata	PROPN
roflmao	INTJ
crab	NOUN
shrimp	NOUN
fried	VERB ADJ
steamed	VERB
steam	VERB NOUN
memberservices@worldresortsinternational.com	X
gunther	PROPN
uecker	PROPN
http://www.kettererkunst.com/bio/guntheruecker-1930.shtml	X
http://www.google.com/search?hl=en&rlz=1g1gglq_enus359&q=gunther+uecker+biography&gs_sm=c&gs_upl=484l484l0l5093l1l1l0l0l0l0l328l328l3-1l1l0&um=1&ie=utf-8&tbm=isch&source=og&sa=n&tab=wi&biw=1221&bih=756&sei=xvg5tqrrgoxk2axg0ry-bw#um=1&hl=en&rlz=1g1gglq_enus359&tbm=isch&sa=1&q=gunther+uecker+artist&pbx=1&oq=gunther+uecker+&aq=1s&aqi=g1g-s3&aql=&gs_sm=c&gs_upl=10219l10219l0l13797l1l1l0l0l0l0l125l125l0.1l1l0&bav=on.2,or.r_gc.r_pw.,cf.osb&fp=13ddcdc64cbf5fd&biw=1221&bih=756	X
indiana	PROPN
smashburger	PROPN
bodybuilding	NOUN
atal	PROPN
pharmacy	PROPN NOUN
karol	PROPN
bag	PROPN NOUN
laxmi	PROPN
nagar	PROPN
zim	PROPN
koreans	PROPN
heck	INTJ NOUN
korean	PROPN ADJ
reside	VERB
ha	PROPN INTJ NOUN
password	NOUN
basketball	NOUN
soccer	NOUN
wii	PROPN
hardly	ADV
shower	NOUN VERB
picks	VERB NOUN
nose	NOUN
nerd	NOUN
impression	NOUN
tremblant	PROPN
typically	ADV
snow	NOUN
depending	VERB SCONJ
slopes	NOUN
jay	PROPN
varnish	VERB NOUN ADJ
paintings	NOUN
ans	NOUN CCONJ X
dirt	NOUN
grease	NOUN
websites	NOUN
(:	SYM
flickr.com	X
tumblr.com	X
autocorrects.com	X
ifunny.com	X
silicone	NOUN
mermaid	NOUN
tail	NOUN PROPN ADJ
carve	VERB
chosen	VERB ADJ
medium	NOUN ADJ
cast	VERB NOUN
kits	NOUN
kit	NOUN
ham	NOUN PROPN
.....	PUNCT
thick	ADV ADJ NOUN
grand	ADJ PROPN ADV NOUN
slam	NOUN VERB
pancakes	NOUN
pancake	NOUN
trace	VERB NOUN
switched	VERB
switch	VERB NOUN
locator	NOUN
gps	NOUN
mazzoni	PROPN
deli	PROPN NOUN
phila	PROPN
pa	PROPN NOUN
3901	NUM
conshocken	PROPN
blogs	NOUN
maryland	PROPN
floor	NOUN
pricier	ADJ
rumba	PROPN
courage	PROPN NOUN X
cowardly	ADJ
episode	NOUN
louvre	PROPN
diffrent	ADJ
scupltures	NOUN
scuplture	NOUN
artists	NOUN
http://www.livevideo.com/video/c8f5bbec570c4a4dbc326f694d79942a/courage-the-cowardly-dog-so-.aspx	X
carnival	NOUN PROPN
stick	NOUN VERB
candy	NOUN
corn	NOUN
kabob	NOUN
contests	NOUN
;d	SYM
monkey	NOUN
bothers	VERB
champagne	NOUN PROPN
served	VERB
preferential	ADJ
terminal	NOUN PROPN ADJ
ringnecks	NOUN
ringneck	NOUN
alexandrine	ADJ
parrots	NOUN
parrot	NOUN
macaws	NOUN
macaw	NOUN
cockatoos	NOUN
cockatoo	NOUN
amazons	NOUN
noticed	VERB
breeds	NOUN
preorder	VERB NOUN
gamestop	PROPN
bucks	NOUN
gamestops	PROPN
pre-order	NOUN
ppl	NOUN
reciept	NOUN
steiner	PROPN
leisure	PROPN NOUN
cruises	PROPN NOUN
rough	ADJ PROPN ADV
wendi	PROPN
pos	NOUN PROPN
prosperity	PROPN NOUN
compliments	NOUN
compliment	NOUN VERB
http://www.prosperitypos.com?p=ya	X
speakers	NOUN
speaker	NOUN
bose	PROPN
dock	PROPN NOUN VERB
jvc	PROPN
mini	X ADJ PROPN
hifi	NOUN
loud	ADJ ADV
bigger	ADJ ADV
usps	PROPN
nz	PROPN
ordered	VERB
headfones	NOUN
headfone	NOUN
shipped	VERB
parcels	NOUN
parcel	NOUN
customs	NOUN
custom	NOUN ADJ
charges	NOUN VERB
yup	INTJ
duties	NOUN
resturants	NOUN
resturant	NOUN
mc.	PROPN
loop	PROPN NOUN
suburbs	NOUN
suburb	NOUN
portillo	PROPN
castle	PROPN NOUN
:d	SYM
nzers	PROPN
previous	ADJ ADV
curious	ADJ
labour	PROPN NOUN
rich	ADJ PROPN NOUN ADV
mates	NOUN
conservative	NOUN ADJ PROPN
arriving	VERB
bottles	NOUN
bottle	NOUN
connecting	VERB
christchurch	PROPN
patrol	NOUN
liquids	NOUN
domestic	ADJ NOUN
studying	VERB
quebec	PROPN
pre-university	ADJ
bachelor	PROPN NOUN
universities	NOUN
device	NOUN
backdrop	NOUN
odd	ADJ NOUN
http://www.google.co.uk/search?q=backdrop+frame&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-us:official&client=firefox-a&safe=active&sout=1	X
studio	NOUN PROPN
equipment	NOUN
royal	PROPN ADJ
caribbean	PROPN ADJ
norweigan	PROPN
onboard	ADV ADP
ncl	PROPN
sailed	VERB
sail	VERB NOUN
terms	NOUN
usb	NOUN
chargers	NOUN
charger	NOUN VERB
hooked	VERB ADJ
htc	PROPN
evo	PROPN
ports	NOUN
pcs	NOUN PROPN
phones	NOUN
revered	VERB
revere	VERB
praised	VERB
tradition	NOUN
http://www.small-business-software.net/look-at-slogans.htm	X
proposition	NOUN
http://www.small-business-software.net/unique-selling-proposition.htm	X
mad	ADJ NOUN
zoom	NOUN VERB
videos	NOUN
buying	VERB NOUN
cameras	NOUN
boxing	PROPN NOUN
upload	VERB
facebook	PROPN NOUN
sony	PROPN
wx10	PROPN
postor	NOUN
usint	VERB
artsy	ADJ
gorrilla	NOUN
screaming	VERB
scream	VERB NOUN
brushes	NOUN
fifferent	ADJ
colors	NOUN
artistic	ADJ
photoshop	PROPN
tttthhhhh	NOUN
madonna	PROPN
